,Company,FAST_mean,FAST_mean_norm
0,000157.SZ,3804815.82104,-0.241393328411
1,600887.SH,10195319.1627,0.147077106792
2,600276.SH,8781450.93735,0.061129885509
3,600009.SH,3101536.45245,-0.284144771886
4,601328.SH,24223519.7621,0.999833282734
5,600150.SH,5501954.29464,-0.138226475005
6,000728.SZ,4230943.35231,-0.215489586769
7,600036.SH,36393583.7616,1.73963573735
8,600660.SH,2610168.52717,-0.314014392724
9,601998.SH,23828249.0638,0.975805288072
10,000738.SZ,3156526.67577,-0.280801987313
11,002456.SZ,1983548.47234,-0.352105815636
12,000538.SZ,7419585.25799,-0.0216561682439
13,600031.SH,5622029.54509,-0.130927255787
14,600037.SH,2775680.87014,-0.303953111402
15,000977.SZ,2511735.17809,-0.31999802874
16,601899.SH,6307662.73988,-0.0892485004015
17,601225.SH,1595314.46154,-0.375706059165
18,000718.SZ,1700063.78545,-0.369338483205
19,600737.SH,2365268.18491,-0.328901567873
20,600221.SH,5598554.97698,-0.13235424443
21,000002.SZ,13687703.7436,0.359374649802
22,002508.SZ,1767771.73558,-0.365222604463
23,000776.SZ,10093940.0685,0.140914402741
24,002466.SZ,986081.001545,-0.412740573457
25,601901.SH,5347448.8366,-0.147618662023
26,600436.SH,2345635.43185,-0.330095017546
27,601633.SH,6582187.33371,-0.0725605053034
28,601618.SH,11935665.0,0.252870479972
29,600795.SH,8722760.24687,0.0575621543219
30,600170.SH,4066477.45482,-0.225487256022
31,002081.SZ,3354582.1056,-0.268762453819
32,600741.SH,4162846.95278,-0.219629078847
33,600362.SH,3200733.88994,-0.278114687923
34,002007.SZ,2346910.72637,-0.330017494041
35,000402.SZ,2925810.4041,-0.294826931151
36,000156.SZ,360313.219472,-0.45078018781
37,601018.SH,10185452.3077,0.146477313435
38,002602.SZ,593304.564968,-0.436616945176
39,600104.SH,21417926.4853,0.829284895077
40,601989.SH,21945604.5736,0.861361763774
41,600489.SH,2867248.21359,-0.29838685099
42,601318.SH,36392919.6784,1.73959536858
43,600256.SH,4139143.84142,-0.221069960339
44,601788.SH,6890898.33846,-0.0537943624884
45,600498.SH,2266520.61555,-0.334904304933
46,002074.SZ,574321.432454,-0.437770905256
47,600886.SH,9645966.7865,0.113682686158
48,000413.SZ,1692345.92751,-0.36980764181
49,000338.SZ,2293372.1318,-0.333272035979
50,600038.SH,2003554.01231,-0.350889704728
51,600000.SH,23191143.5691,0.937076468826
52,002152.SZ,2613792.42481,-0.313794100671
53,600029.SH,7214206.28385,-0.0341408905264
54,600482.SH,2222161.396,-0.337600844533
55,601555.SH,3534278.44615,-0.257838945625
56,002252.SZ,8061073.53922,0.0173390749264
57,002304.SZ,7470841.98683,-0.0185403379728
58,000671.SZ,1726780.13705,-0.367714430736
59,600050.SH,14111715.5753,0.385149780808
60,601601.SH,15821689.5308,0.489096886559
61,600518.SH,7308391.63599,-0.0284154847518
62,600271.SH,5277500.91692,-0.151870705617
63,600109.SH,4469668.24086,-0.200977809466
64,002415.SZ,10363070.1662,0.157274473392
65,002714.SZ,773916.812044,-0.425637760208
66,002008.SZ,2294554.86614,-0.333200139088
67,002385.SZ,1943549.58962,-0.354537295997
68,300315.SZ,2058594.4468,-0.347543867883
69,000008.SZ,552801.222978,-0.439079090965
70,000750.SZ,2604581.94079,-0.314353994086
71,600704.SH,1594449.85583,-0.375758617427
72,601958.SH,2759739.56335,-0.30492216283
73,600023.SH,2130329.53186,-0.343183184816
74,600682.SH,2687394.77707,-0.309319908846
75,300017.SZ,2436084.17526,-0.324596755384
76,002027.SZ,344138.95352,-0.451763400524
77,601216.SH,4136355.05231,-0.221239487223
78,600061.SH,989617.088988,-0.412525619274
79,600871.SH,403400.769231,-0.448160951373
80,300070.SZ,2942763.43476,-0.293796378337
81,002465.SZ,2674889.34814,-0.310080097701
82,600688.SH,1937679.23077,-0.354894147522
83,601668.SH,20684493.4732,0.784700450602
84,300133.SZ,1878958.95037,-0.358463677441
85,000623.SZ,2188398.35906,-0.339653255893
86,600690.SH,6231262.59273,-0.0938927665608
87,002736.SZ,2341901.53846,-0.330321996097
88,002475.SZ,3627138.67255,-0.25219409253
89,601390.SH,21706172.8915,0.846807021409
90,601169.SH,11577609.0308,0.231104720569
91,601766.SH,34486190.7826,1.62368778442
92,600547.SH,2677346.53499,-0.309930728489
93,601877.SH,4026243.35087,-0.227933035179
94,601336.SH,9013910.50112,0.0752608018202
95,002153.SZ,1676679.70606,-0.370759971155
96,002146.SZ,3083272.9109,-0.285254988961
97,002470.SZ,2443452.64,-0.324148835941
98,600018.SH,17124147.8858,0.568271645882
99,601288.SH,99784271.0406,5.59307365273
100,600068.SH,3574158.03791,-0.255414716806
101,600340.SH,6799968.07102,-0.0593218958731
102,000333.SZ,6968817.1514,-0.0490577785992
103,300033.SZ,1593464.23675,-0.375818531937
