,Company,Y
0,000157.SZ,0.00399223311891
1,600887.SH,0.144261228757
2,600276.SH,0.154011301096
3,600009.SH,0.209171454512
4,601328.SH,0.23366099164
5,600150.SH,0.0401930276214
6,000728.SZ,0.00729485247703
7,600036.SH,0.0982975999073
8,600660.SH,-0.21358641996
9,601998.SH,-0.0557006813441
10,000738.SZ,0.303651876088
11,002456.SZ,0.155065266399
12,000538.SZ,0.190451157397
13,600031.SH,-0.143606236248
14,600037.SH,0.0745101093001
15,000977.SZ,-0.0952478678043
16,601899.SH,0.0814982709781
17,601225.SH,-0.0979798116457
18,000718.SZ,0.51021571737
19,600737.SH,0.81124257296
20,600221.SH,0.375065596643
21,000002.SZ,-0.0532792978535
22,002508.SZ,0.089245156989
23,000776.SZ,-0.286071631603
24,002466.SZ,-0.0164089151307
25,601901.SH,-0.260508393016
26,600436.SH,0.332453544841
27,601633.SH,-0.268975482641
28,601618.SH,0.184203400622
29,600795.SH,0.498373607771
30,600170.SH,0.0119135201984
31,002081.SZ,-0.299924132049
32,600741.SH,-0.0359050762144
33,600362.SH,-0.0738879168233
34,002007.SZ,-0.0496457256404
35,000402.SZ,0.105133718576
36,000156.SZ,-0.373770121455
37,601018.SH,0.408966138206
38,002602.SZ,-0.103932192598
39,600104.SH,-0.194862158155
40,601989.SH,0.370190353505
41,600489.SH,-0.0800895830757
42,601318.SH,-0.0565872677861
43,600256.SH,-0.0427111071888
44,601788.SH,-0.135473872675
45,600498.SH,0.0202952486874
46,002074.SZ,-0.229411995194
47,600886.SH,0.299753505536
48,000413.SZ,-0.267490856157
49,000338.SZ,-0.0918391693423
50,600038.SH,0.201089594672
51,600000.SH,0.0202174672659
52,002152.SZ,-0.267835935914
53,600029.SH,0.732643682888
54,600482.SH,1.05337722444
55,601555.SH,-0.205851169144
56,002252.SZ,0.071065788505
57,002304.SZ,0.111924153222
58,000671.SZ,-0.0610958440849
59,600050.SH,0.237059343073
60,601601.SH,-0.213764828581
61,600518.SH,0.0471583362337
62,600271.SH,0.212034117647
63,600109.SH,-0.147483281375
64,002415.SZ,0.373866772262
65,002714.SZ,0.495391217415
66,002008.SZ,0.289073928021
67,002385.SZ,-0.262592746714
68,300315.SZ,-0.184811264441
69,000008.SZ,-0.103932192598
70,000750.SZ,-0.175920029922
71,600704.SH,0.0439646072615
72,601958.SH,-0.0747544737652
73,600023.SH,0.285466380287
74,600682.SH,1.45412739487
75,300017.SZ,0.0397706104225
76,002027.SZ,0.0128260491601
77,601216.SH,0.100655245826
78,600061.SH,0.30569772661
79,600871.SH,0.369727696496
80,300070.SZ,0.0243808874899
81,002465.SZ,0.0526158940364
82,600688.SH,0.854545316052
83,601668.SH,-0.00186797241461
84,300133.SZ,-0.03613771902
85,000623.SZ,-0.182498871844
86,600690.SH,0.0698496992689
87,002736.SZ,0.035382505328
88,002475.SZ,0.201873297688
89,601390.SH,-0.0154622868693
