,Company,diff_csi300_LAST,norm_diff_csi300_LAST
117,002424.SZ,0.0590698059382,-0.331531901724
118,000100.SZ,0.406242102994,0.579771202062
119,002174.SZ,-0.124895290078,-0.814427468017
120,600522.SH,0.0350699143836,-0.394529945778
121,600369.SH,-0.174544270772,-0.94475258494
122,000858.SZ,-0.0686433467134,-0.666770033893
123,601111.SH,0.0556003709112,-0.34063892707
124,600585.SH,-0.112307658582,-0.781385811902
125,002558.SZ,-0.146766492994,-0.87183785263
126,000768.SZ,0.287268662501,0.267474205704
127,600157.SH,-0.0320485228947,-0.570711169717
128,600153.SH,0.23729200792,0.136288967644
129,601818.SH,-0.178235024463,-0.954440556365
130,002299.SZ,0.271269425997,0.225477324016
131,600820.SH,0.198196179783,0.033665141295
132,600816.SH,0.0135609022875,-0.450989604711
133,600332.SH,0.113603974003,-0.188383508142
134,600674.SH,-0.059943263008,-0.643932920013
135,300059.SZ,0.328508790416,0.375726669646
136,600030.SH,-0.178609069023,-0.955422397288
137,600177.SH,0.497940746694,0.82047375617
138,002555.SZ,0.233684129133,0.126818537071
139,601088.SH,-0.156558894091,-0.897542223597
140,000540.SZ,1.8905855306,4.47606933451
141,000425.SZ,-0.1246757418,-0.813851169076
142,300024.SZ,0.172078887344,-0.0348909326304
143,600118.SH,0.0695255816529,-0.304086218581
144,601800.SH,0.184467763933,-0.00237099430768
145,601939.SH,-0.240846831261,-1.11879218912
146,600352.SH,0.342593922917,0.412699161618
147,600048.SH,-0.0848732891106,-0.709372502484
148,000651.SZ,0.0326531003675,-0.400873914271
149,600015.SH,-0.188248793879,-0.980726003756
150,000961.SZ,0.087123721803,-0.257892326166
151,601398.SH,-0.148219981366,-0.87565315839
152,002310.SZ,0.126645103027,-0.154151452597
153,600074.SH,0.834254097874,1.70327288321
154,600008.SH,0.126179785011,-0.155372879986
155,601628.SH,-0.0618144080421,-0.648844545426
156,600406.SH,0.278679279447,0.244927673324
157,600089.SH,0.0171901132394,-0.441463178689
158,600703.SH,0.348369857863,0.427860588634
159,000001.SZ,-0.152444020116,-0.886740965959
160,600383.SH,-0.162499311101,-0.913135404576
161,000793.SZ,0.197526832861,0.0319081522368
162,000423.SZ,-0.0279343163565,-0.559911664055
163,002142.SZ,-0.0119229115486,-0.517882841418
164,000895.SZ,0.0227892867607,-0.426765738104
165,600649.SH,-0.146766492994,-0.87183785263
166,002450.SZ,0.170084237323,-0.0401267500351
167,600066.SH,0.181940283905,-0.00900545337425
168,000709.SZ,-0.0163440376497,-0.52948798956
169,600100.SH,0.258203901468,0.191181231971
170,603993.SH,0.405893659015,0.57885656088
171,002426.SZ,0.145504038407,-0.104648060502
172,600837.SH,-0.173780414155,-0.942747514512
173,000983.SZ,-0.131027756028,-0.830524764089
174,000792.SZ,0.211305932506,0.0680773292705
175,601607.SH,0.23016027278,0.117568659533
176,600446.SH,1.45135549864,3.32312108723
177,000826.SZ,-0.0981219528371,-0.74414932217
178,000783.SZ,-0.202650620936,-1.01852979688
179,000686.SZ,-0.104228078201,-0.76017747604
