,Company,FAST_mean,FAST_mean_norm
0,002475.SZ,2475450.306,-0.178524004581
1,002470.SZ,1214769.84515,-0.287126644521
2,600036.SH,21731030.1571,1.48026810837
3,002146.SZ,1744583.11389,-0.241485325054
4,601988.SH,52076357.1413,4.09439811408
5,000895.SZ,4217973.88034,-0.0284124844876
6,600048.SH,6026764.79188,0.127407704841
7,000718.SZ,721940.029793,-0.329581985625
8,002304.SZ,5228155.32018,0.0586106546759
9,600031.SH,4182176.12688,-0.0314963194884
10,601688.SH,4687958.3279,0.0120748184582
11,002230.SZ,1550518.66504,-0.258203210448
12,000750.SZ,1337574.54822,-0.276547504632
13,601989.SH,8092874.24689,0.305394869858
14,601818.SH,10544919.7694,0.516628902005
15,000009.SZ,1593603.5734,-0.254491615849
16,600446.SH,874344.655273,-0.316452929389
17,600583.SH,3006242.46545,-0.132798357547
18,601618.SH,3162422.22727,-0.119344088233
19,000876.SZ,1456682.21599,-0.266286849725
20,002252.SZ,3146466.32727,-0.120718625966
21,601933.SH,2268748.91515,-0.196330512592
22,002049.SZ,567985.255953,-0.342844581017
23,600118.SH,2426933.53407,-0.182703532762
24,300027.SZ,1920654.48265,-0.226317472407
25,600606.SH,431328.700729,-0.354617003231
26,601169.SH,6514527.93265,0.169426571951
27,600804.SH,2066728.72365,-0.213733753778
28,300168.SZ,973332.259636,-0.307925538437
29,000728.SZ,2293354.58182,-0.194210831642
30,000983.SZ,1854702.45828,-0.231998978687
31,002027.SZ,157862.005176,-0.37817507841
32,600637.SH,2673726.09357,-0.161443328998
33,600522.SH,1000534.76264,-0.305582150298
34,601668.SH,9361698.39909,0.414699056626
35,600111.SH,3236026.47869,-0.113003372832
36,600008.SH,1473700.0,-0.264820834881
37,601899.SH,3649241.93373,-0.0774064942611
38,600015.SH,5434224.09049,0.0763626649273
39,000783.SZ,2690682.54602,-0.159982597625
40,600028.SH,48217698.1361,3.76198988883
41,002236.SZ,1663556.61815,-0.248465437473
42,002415.SZ,5754900.16146,0.103987641243
43,000625.SZ,4485285.75179,-0.00538462308352
44,600535.SH,4042640.04254,-0.0435168017566
45,601288.SH,69955894.2787,5.63464958486
46,000651.SZ,8648340.16312,0.353246063537
47,600074.SH,524121.900192,-0.346623235783
48,600704.SH,709080.635887,-0.330689771595
49,601186.SH,5165915.21558,0.0532489156154
50,002174.SZ,419951.209998,-0.355597129098
51,600085.SH,2434589.63583,-0.182043989849
52,600703.SH,2978385.76683,-0.135198102053
53,600585.SH,6967118.28329,0.208415442182
54,601390.SH,4861006.25303,0.0269822133837
55,600309.SH,3541314.54371,-0.0867040124204
56,600340.SH,1754551.61615,-0.240626577976
57,601958.SH,2644837.84909,-0.163931937104
58,000826.SZ,1863141.9367,-0.23127195097
59,000157.SZ,2927481.98758,-0.139583261482
60,601608.SH,274638.043548,-0.368115284161
61,601009.SH,2455802.57364,-0.180216579083
62,000069.SZ,1640191.4182,-0.250478257118
63,000402.SZ,1892445.24925,-0.228747586391
64,601901.SH,2894361.0674,-0.142436497873
65,002424.SZ,656182.273624,-0.335246756468
66,300124.SZ,1765066.29886,-0.239720779611
67,601628.SH,30914423.3332,2.27138114097
68,600050.SH,7354897.78851,0.24182111419
69,000938.SZ,578460.665367,-0.341942165891
70,601872.SH,1074367.35708,-0.299221764047
71,601118.SH,2713580.54171,-0.158010025781
72,601939.SH,3912177.28497,-0.0547556527791
73,601992.SH,1956270.82924,-0.223249264891
74,002508.SZ,916291.890152,-0.312839340865
75,002081.SZ,2659168.35912,-0.162697420294
76,002074.SZ,194947.856841,-0.374980278839
77,600887.SH,7470506.39553,0.251780338841
78,600372.SH,4110710.66838,-0.0376527863317
79,600383.SH,4071838.34384,-0.0410014834809
80,601607.SH,2529183.98549,-0.173895060429
81,000156.SZ,213547.68334,-0.373377977286
82,601099.SH,1267618.87118,-0.28257390977
83,600518.SH,3267722.80186,-0.110272859843
84,600196.SH,3582941.10629,-0.0831180485477
85,002450.SZ,2431056.00402,-0.182348398266
86,000792.SZ,1164542.29782,-0.291453549243
87,601718.SH,1202974.92424,-0.288142730348
88,600588.SH,1796511.23683,-0.237011922464
89,600362.SH,2796395.87824,-0.150875811796
90,600100.SH,1936549.09773,-0.224948214127
91,601333.SH,1565155.80927,-0.256942278313
92,600170.SH,504062.093089,-0.348351308896
93,600009.SH,1508898.02091,-0.261788664469
94,600690.SH,4275134.08312,-0.023488358895
95,000063.SZ,3903487.27237,-0.0555042630244
96,600030.SH,12488562.1853,0.684066015548
97,000002.SZ,8929885.10915,0.377500048071
98,600297.SH,309352.272727,-0.365124790496
99,600498.SH,1292981.98266,-0.280388977941
100,600066.SH,2243851.75272,-0.198475304751
101,002352.SZ,99194.7013351,-0.383229034803
102,601919.SH,2612094.78231,-0.166752622918
103,002065.SZ,2297177.06208,-0.193881540072
104,603993.SH,1425792.98055,-0.268947835295
105,002131.SZ,384494.733247,-0.358651564459
106,600038.SH,1025671.78409,-0.303416695233
107,601633.SH,1079753.38817,-0.298757778753
108,601018.SH,3326448.48485,-0.105213874317
109,600827.SH,1576259.60263,-0.255985730394
110,000060.SZ,1591671.11797,-0.254658089248
111,002673.SZ,816111.147588,-0.321469515958
112,000100.SZ,2053845.8935,-0.214843558687
113,600705.SH,1340164.07543,-0.276324427096
114,300144.SZ,503875.734779,-0.348367362928
115,000768.SZ,2960948.76835,-0.136700230568
116,002310.SZ,801517.720795,-0.322726682008
117,600886.SH,3946997.9431,-0.0517559906798
118,000623.SZ,1295441.07394,-0.280177136945
119,002594.SZ,5207044.89041,0.0567920745719
120,601398.SH,92878240.0812,7.60931909476
121,002202.SZ,2149416.71012,-0.206610510497
122,300315.SZ,873439.75817,-0.316530882699
123,000425.SZ,1625965.15303,-0.251703793646
124,600000.SH,14132322.1494,0.825669440899
125,600737.SH,770030.615075,-0.32543917174
126,002299.SZ,1236378.13999,-0.285265175309
127,600519.SH,18033411.539,1.16173287609
128,600037.SH,1253211.10533,-0.283815081863
129,600820.SH,1058289.02755,-0.300606848601
130,600276.SH,5072264.82768,0.0451813047707
131,600900.SH,6810050.44204,0.194884668335
132,601600.SH,3476713.34245,-0.0922691506278
133,000959.SZ,368186.461326,-0.36005645764
134,000568.SZ,2517119.94609,-0.174934329751
135,601727.SH,4068942.16759,-0.0412509776205
136,601111.SH,2997906.66584,-0.133516453744
137,002292.SZ,1103599.46327,-0.296703533614
138,300017.SZ,1217864.29312,-0.286860070057
139,000559.SZ,2590219.33026,-0.168637106668
140,601866.SH,2118838.8447,-0.20924467277
