,Company,FAST_mean,FAST_mean_norm
0,002475.SZ,2377354.92039,-0.240943489243
1,002470.SZ,1615770.56613,-0.299874664443
2,600036.SH,24782016.7574,1.49272270892
3,002146.SZ,2019485.01028,-0.268635358506
4,601988.SH,61009817.6995,4.29601937923
5,000895.SZ,3688757.42219,-0.139467546151
6,600048.SH,7327187.38168,0.14207310289
7,000718.SZ,833616.819761,-0.360397493206
8,002304.SZ,5707682.93484,0.0167563211559
9,600031.SH,5353440.34745,-0.0106548669335
10,601688.SH,8642335.48387,0.243838879448
11,002230.SZ,1724366.77207,-0.291471521702
12,000750.SZ,2643791.48457,-0.220326705618
13,601989.SH,11218793.5125,0.443204450226
14,601818.SH,13477732.9985,0.618000528783
15,000009.SZ,1955551.04768,-0.273582549885
16,600446.SH,1292413.98813,-0.324895902135
17,600583.SH,3449557.13882,-0.157976794311
18,601618.SH,5190979.69355,-0.0232260249477
19,000876.SZ,2088808.39559,-0.263271135171
20,002252.SZ,4466541.83226,-0.079282815357
21,601933.SH,2516878.94839,-0.230147160651
22,002049.SZ,638079.871719,-0.375528085213
23,600118.SH,2879914.14348,-0.202055603142
24,300027.SZ,2219863.50799,-0.253130128798
25,600606.SH,525434.450222,-0.384244555073
26,601169.SH,7839929.88347,0.181748968127
27,600804.SH,2321255.07459,-0.245284478948
28,300168.SZ,1696905.62021,-0.293596457624
29,000728.SZ,4063089.31935,-0.11050185313
30,000983.SZ,2193417.67628,-0.255176499543
31,002027.SZ,184295.226648,-0.410641808693
32,600637.SH,3164356.5253,-0.1800455346
33,600522.SH,1119991.27,-0.338237921774
34,601668.SH,13317425.1413,0.605595953552
35,600111.SH,3406049.81533,-0.161343378312
36,600008.SH,1934048.3871,-0.275246419489
37,601899.SH,4478848.93442,-0.0783304953812
38,600015.SH,6361176.91819,0.0673234949824
39,000783.SZ,4882725.82496,-0.0470786193905
40,600028.SH,50227273.3585,3.46166924307
41,002236.SZ,1632242.10781,-0.298600101352
42,002415.SZ,6479292.12403,0.0764632151602
43,000625.SZ,5152800.48385,-0.0261803210584
44,600535.SH,4261775.33044,-0.095127587543
45,601288.SH,79272458.0805,5.70917716523
46,000651.SZ,9332585.44334,0.297250219986
47,600074.SH,558731.03844,-0.381668074788
48,600704.SH,819216.555246,-0.361511781474
49,601186.SH,8487374.06018,0.23184800968
50,002174.SZ,427583.385309,-0.391816241936
51,600085.SH,2624379.99086,-0.221828761339
52,600703.SH,3155298.19856,-0.180746465281
53,600585.SH,7266298.38207,0.13736152986
54,601390.SH,8764046.65968,0.253256854732
55,600309.SH,4076768.22726,-0.109443383226
56,600340.SH,4114539.9755,-0.106520616364
57,601958.SH,2859031.70843,-0.203671479875
58,000826.SZ,2071882.49724,-0.264580856248
59,000157.SZ,3402037.94897,-0.161653815361
60,601608.SH,433836.742071,-0.391332359013
61,601009.SH,3407569.1304,-0.161225814155
62,000069.SZ,1903372.18393,-0.277620135143
63,000402.SZ,2344010.20996,-0.24352369321
64,601901.SH,5716290.32258,0.0174223583091
65,002424.SZ,885183.704155,-0.356407262732
66,300124.SZ,1733447.34428,-0.290768869673
67,601628.SH,41818014.464,2.81096324256
68,600050.SH,8417100.05234,0.22641022745
69,000938.SZ,614577.498748,-0.377346691979
70,601872.SH,1666881.34677,-0.295919727145
71,601118.SH,3481115.85779,-0.155534789841
72,601939.SH,4587160.96338,-0.0699493421714
73,601992.SH,2461169.66029,-0.234457929116
74,002508.SZ,1035316.72177,-0.344790013618
75,002081.SZ,2938594.58945,-0.197514927348
76,002074.SZ,365255.239507,-0.396639175679
77,600887.SH,7607125.69236,0.163734647721
78,600372.SH,4917654.87239,-0.0443758198879
79,600383.SH,3863527.90143,-0.125943857443
80,601607.SH,2916317.04528,-0.199238757218
81,000156.SZ,210565.089768,-0.408609054347
82,601099.SH,2344361.39983,-0.24349651824
83,600518.SH,3524432.92684,-0.152182927673
84,600196.SH,3849606.2998,-0.127021106916
85,002450.SZ,2998253.90343,-0.192898507033
86,000792.SZ,1854645.76595,-0.281390571154
87,601718.SH,1997490.53226,-0.270337284801
88,600588.SH,2559287.75652,-0.226865579447
89,600362.SH,3180651.36549,-0.178784644619
90,600100.SH,2445341.97632,-0.235682670685
91,601333.SH,1995239.661,-0.270511456562
92,600170.SH,677569.638677,-0.372472378564
93,600009.SH,1853195.57889,-0.281502786206
94,600690.SH,4690534.96734,-0.0619502918967
95,000063.SZ,4466612.1295,-0.0792773757772
96,600030.SH,18701837.8693,1.02224023997
97,000002.SZ,9967062.43784,0.346345864762
98,600297.SH,385372.580645,-0.395082501689
99,600498.SH,1539617.32395,-0.305767380111
100,600066.SH,2416482.66651,-0.23791579566
101,002352.SZ,101701.213296,-0.417032909356
102,601919.SH,3892223.42546,-0.123723406163
103,002065.SZ,2372312.52246,-0.241333668523
104,603993.SH,1587658.57173,-0.30204996237
105,002131.SZ,442014.617483,-0.390699557399
106,600038.SH,1406197.77903,-0.316091345583
107,601633.SH,6972397.28145,0.114619548417
108,601018.SH,5080774.19355,-0.0317536943939
109,600827.SH,2278433.61365,-0.248597991106
110,000060.SZ,1735262.66758,-0.290628400485
111,002673.SZ,1482068.30808,-0.310220506174
112,000100.SZ,2720634.48245,-0.214380616855
113,600705.SH,1481333.45145,-0.310277369166
114,300144.SZ,527718.149907,-0.384067843058
115,000768.SZ,3873202.87684,-0.125195210668
116,002310.SZ,830668.268119,-0.360625651272
117,600886.SH,5279635.61596,-0.0163658555301
118,000623.SZ,2066121.55646,-0.265026636166
119,002594.SZ,3033325.45319,-0.190184680742
120,601398.SH,103571766.352,7.58945055189
121,002202.SZ,2621567.51275,-0.222046390075
122,300315.SZ,862827.633994,-0.358137168921
123,000425.SZ,2176906.95619,-0.256454094248
124,600000.SH,17241584.1463,0.909246232801
125,600737.SH,964008.32588,-0.350307836494
126,002299.SZ,1259791.41774,-0.327420227117
127,600519.SH,18740463.4698,1.02522907767
128,600037.SH,1597080.64246,-0.301320885285
129,600820.SH,1451859.44073,-0.312558059519
130,600276.SH,5656378.91032,0.0127864307027
131,600900.SH,8599064.23745,0.240490563021
132,601600.SH,4269358.71352,-0.0945407875724
133,000959.SZ,471838.144939,-0.388391821543
134,000568.SZ,2543375.0505,-0.228096899998
135,601727.SH,6368804.79268,0.0679137376859
136,601111.SH,4565246.73585,-0.0716450587067
137,002292.SZ,1038196.11871,-0.344567206723
138,300017.SZ,1027205.70745,-0.345417641541
139,000559.SZ,2630123.78574,-0.221384308167
140,601866.SH,2880512.8125,-0.202009278308
141,600795.SH,4917588.71421,-0.0443809391884
142,600485.SH,569972.924387,-0.380798180933
143,600188.SH,3058279.98097,-0.188253706661
144,600369.SH,3055395.44743,-0.188476911025
145,002385.SZ,1319891.68217,-0.322769686185
146,600649.SH,2150053.2157,-0.258532028855
147,601788.SH,5943350.70968,0.0349922248358
148,002500.SZ,2768856.08283,-0.210649243482
149,000793.SZ,1640359.69369,-0.297971964925
150,600332.SH,2808854.33613,-0.207554190308
151,601006.SH,13468593.73,0.617293334852
152,600549.SH,2130989.50581,-0.260007173165
153,300104.SZ,1634349.62242,-0.298437022486
154,601166.SH,19093513.4765,1.05254798422
155,600739.SH,2506465.66867,-0.230952937198
156,600999.SH,8443807.87732,0.228476871158
157,600157.SH,1422185.98073,-0.314854183199
158,600068.SH,2092475.3862,-0.262987384507
159,601117.SH,3602522.16129,-0.146140405487
160,000001.SZ,11832295.4633,0.490677052236
161,002426.SZ,392614.948723,-0.39452208936
162,601669.SH,1557853.8871,-0.304356240174
