,Company,diff_csi300_LAST,end_price,qtr_return,start_price,norm_diff_csi300_LAST
0,000157.SZ,-0.0016479583871043535,425.75,0.44375868968089804,294.89,0.172273258104
1,600887.SH,-0.33999812157300857,928.51,0.10540852649499383,839.97,-0.546481657398
2,600276.SH,-0.4343527603654525,563.43,0.011053887702549874,557.27,-0.746918565109
3,600009.SH,-0.14272642625654214,56.38,0.30268022181146026,43.28,-0.127418757109
4,601328.SH,0.14030763764628335,9.99,0.5857142857142857,6.3,0.473828550618
5,600150.SH,-0.4327516028115491,120.83,0.012655045256453279,119.32,-0.743517237172
6,000728.SZ,0.8279371182335102,43.58,1.2733437663015126,19.17,1.93455510846
7,600036.SH,0.1514835816836801,68.81,0.5968902297516825,43.09,0.497569531372
8,600660.SH,-0.2914123797534762,773.13,0.15399426831452617,669.96,-0.443271301513
9,601998.SH,0.34626001859866434,10.32,0.7916666666666667,5.76,0.911331771468
10,000738.SZ,-0.48271031298946826,29.42,-0.03730366492146587,30.56,-0.849644180261
11,002456.SZ,-0.6527672775001676,153.13,-0.20736062943216524,193.19,-1.2108950158
12,000538.SZ,-0.21369587302074342,1042.52,0.23171077504725898,846.4,-0.278178662858
13,600031.SH,0.2605780685847933,450.96,0.7059847166527957,264.34,0.729318196648
14,600037.SH,-0.46038123248893936,71.7,-0.014974584420936988,72.79,-0.802210668726
15,000977.SZ,-0.431885874429034,113.19,0.013520773638968399,111.68,-0.741678176347
16,601899.SH,-0.08051057416500007,5.91,0.3648960739030023,4.33,0.00474594791715
17,601225.SH,-0.28241853261808725,6.85,0.16298811544991512,5.89,-0.424165734142
18,000718.SZ,-0.20842551599253065,32.78,0.23698113207547175,26.5,-0.266982879812
19,600737.SH,-0.1090556731376402,95.95,0.3363509749303622,71.8,-0.0558922087395
20,600221.SH,0.22230495067807926,10.64,0.6677115987460817,6.38,0.648014876537
21,000002.SZ,0.06875588086667156,1713.82,0.514162528934674,1131.86,0.321831647724
22,002508.SZ,-0.3579784413034843,68.16,0.08742820676451814,62.68,-0.584677126455
23,000776.SZ,0.9245051883604352,126.34,1.3699118364284375,53.31,2.13969399307
24,002466.SZ,-0.7247316421676011,61.07,-0.2793249940995987,84.74,-1.36376841879
25,601901.SH,0.8501205084815184,14.37,1.2955271565495208,6.26,1.9816791312
26,600436.SH,-0.38647413185621604,148.6,0.05893251621178637,140.33,-0.645210325147
27,601633.SH,-0.07927463079471442,44.29,0.366132017273288,32.42,0.00737145388502
28,601618.SH,0.4996482969869425,5.31,0.9450549450549449,2.73,1.23717343217
29,600795.SH,0.3491678659708743,1038.61,0.7945745140388767,578.75,0.917508891563
30,600170.SH,0.2398107432363455,58.14,0.6852173913043479,34.5,0.685202310799
31,002081.SZ,-0.5780773481544328,301.05,-0.13267070008643045,347.1,-1.0522317146
32,600741.SH,-0.24167095383349577,557.45,0.20373569423450663,463.1,-0.337605933873
33,600362.SH,-0.11143627061936395,27.92,0.33397037744863844,20.93,-0.0609492955329
34,002007.SZ,-0.29909132136579875,417.19,0.14631532670220365,363.94,-0.459583624161
35,000402.SZ,0.4692181015082037,372.72,0.9146247495762061,194.67,1.17253077802
36,000156.SZ,-0.6756339935691231,24.04,-0.23022734550112076,31.23,-1.25947062287
37,601018.SH,-0.0901434901732654,5.15,0.355263157894737,3.8,-0.0157171890483
38,002602.SZ,-0.21243173767373702,41.28,0.23297491039426538,33.48,-0.275493268869
39,600104.SH,-0.25786224835216065,150.45,0.18754439971584175,126.69,-0.372000989026
40,601989.SH,-0.041035063368548896,15.42,0.4043715846994535,10.98,0.0886035029416
41,600489.SH,-0.20325611043359385,115.52,0.24215053763440855,93.0,-0.256001547276
42,601318.SH,0.3616186965295967,81.28,0.8070253445975991,44.98,0.943958104952
43,600256.SH,-0.4964674509380463,306.83,-0.05106080287004389,323.34,-0.878868373418
44,601788.SH,1.5274651947757774,31.78,1.9728718428437797,10.69,3.42055777153
45,600498.SH,-0.4693176767983083,52.66,-0.023911028730305952,53.95,-0.82119429567
46,002074.SZ,-0.6724405824709558,54.44,-0.22703393440295339,70.43,-1.25268688172
47,600886.SH,0.20534393336832163,468.45,0.650750581436324,283.78,0.611984704574
48,000413.SZ,-0.49510843733241594,33.46,-0.049701789264413515,35.21,-0.875981430199
49,000338.SZ,-0.09292497519214593,112.54,0.35248167287585647,83.21,-0.021625878469
50,600038.SH,-0.3767234768898886,110.94,0.06868317117811382,103.81,-0.624497076126
51,600000.SH,0.16377367980085006,122.7,0.6091803278688525,76.25,0.523677301945
52,002152.SZ,-0.23573186460665252,148.04,0.20967478346134988,122.38,-0.324989567635
53,600029.SH,0.28393219490720406,8.37,0.7293388429752065,4.84,0.778929205945
54,600482.SH,-0.6425520539556028,36.0,-0.1971454058876004,44.84,-1.18919488696
55,601555.SH,0.7320127067707074,22.95,1.1774193548387097,10.54,1.7307835435
56,002252.SZ,-0.41572064779376694,300.38,0.029686000274235458,291.72,-0.707338497019
57,002304.SZ,-0.1932311585828681,207.21,0.2521754894851343,165.48,-0.234705611277
58,000671.SZ,-0.3446319675409548,166.25,0.10077468052704759,151.03,-0.556325304393
59,600050.SH,-0.06348782887981047,7.49,0.3819188191881919,5.42,0.0409072481921
60,601601.SH,0.21852029257126698,36.44,0.6639269406392694,21.9,0.639975153452
61,600518.SH,-0.4641447198972778,339.34,-0.018738071829275397,345.82,-0.810205419042
62,600271.SH,-0.23418877097303037,271.01,0.21121787709497203,223.75,-0.321711584484
63,600109.SH,0.2481761852483812,166.53,0.6935828333163836,98.33,0.702972961506
